OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
3790,828ED7C4-DBC7-4633-B8B0-DB4D3A69EC66,AE8348E7-D81E-4230-B4AB-BD3BAD40DC4C,03/21,2450,100,FT,GRASS,,,0,0,0,0,0,0,2.14135457099474e-06,0.0145810071406418
3791,80CB9098-8175-42EB-B00A-792A7E8817CB,5D3E7DF2-FAB3-4B63-889A-FD6DA8EA8558,H1,71,71,FT,CONC,,,0,0,0,0,0,0,4.25316102337092e-08,0.000826149000093041
3792,89D790BE-2614-4CFD-8433-455E75968473,FF591865-5830-4DFA-9F92-EED0811DFC75,H1,20,20,FT,GRASS,,,0,0,0,0,0,0,3.37513483827934e-09,0.000232715999800348
3793,09BFF1FF-57DF-4792-B5F6-8E13AF7A16C1,566B0A9E-B1BA-4153-BACB-5B6484AFA0E0,09/27,7003,150,FT,ASPH,0,LIH,0,0,1,1,0,0,8.86633415575488e-06,0.0438002564829704
3794,6FD27BCF-C97B-4485-AD0C-BD0A0B16096A,27ADDC40-2C74-49F5-9BBF-8F4311A7E7E7,H1,44,44,FT,CONC,,,0,0,0,0,0,0,1.63440745382104e-08,0.000512134000018705
3795,987CDF4D-021D-4C00-ACF8-DA5A317578FA,C2FDFB77-5A0B-4E89-B2F1-02EA77656CCF,09/27,2700,50,FT,ASPH,2,LIM,0,0,0,0,0,0,1.14019803731935e-06,0.0168504481530495
3796,7DD804B1-B801-40C3-AEF3-1E1229553534,EC67C89F-D913-4392-BB26-DBB54A1D35C6,09/27,1800,200,FT,GRASS,,,0,0,0,0,0,0,3.12145380121365e-06,0.0124505065750511
3797,AA087BD1-A55B-49BF-846F-CE95C7E01316,D2BA8919-0AFC-4BF6-838E-24ED5C266133,01/19,3000,50,FT,GRASS,,,0,0,0,0,0,0,1.30165722111997e-06,0.0168633361553401
3798,8767538D-31A9-4DBC-9F7F-D75C04C873DE,B72FDD82-AFBB-4F9D-BA6B-C1D394825D52,N/S,3000,60,FT,GRASS,,,0,0,0,0,0,0,1.53148721437901e-06,0.0168800537666643
3799,1AA55E21-0781-41B9-BD2A-7B1F472A7AD2,56F25D18-2E73-4DF9-B56B-97F2C39851A3,18/36,2500,250,FT,GRASS,,,0,0,0,0,0,0,5.32019316779042e-06,0.0153079073563429
3800,16029E4A-5803-41F3-99E3-AA01531813A5,A57D5388-4BA4-45AA-A7F4-BE5D6F12EFB3,04/22,3800,100,FT,GRASS,,,0,0,0,0,0,0,3.23462245432893e-06,0.0226140340270463
3801,7AA5C293-6624-41EC-9054-3DB4C88B27F6,038F3638-FED8-4678-A86B-E2563730518E,11W/29W,6000,300,FT,WATER,,,0,0,0,0,0,0,1.53254202359676e-05,0.0383618520993416
3802,33BBAF28-5C70-44DE-91B1-A3F402656FCE,4CF3544D-F5E3-4B98-A17A-DF3385507CEC,14/32,5254,75,FT,ASPH,2,LIM,0,0,1,1,0,0,3.32157173943415e-06,0.0309352688822499
3803,B2710D7C-F36A-46E6-BD65-6763343BAA8B,735A3921-FC48-4044-8719-F131FA6DC9C0,09/27,3165,80,FT,GRASS,,,0,0,0,0,0,0,2.13114458347263e-06,0.0198051731304136
3804,AB54F968-BE57-4493-A3B6-DC4E178AE01F,BCD0433D-461F-4EC2-97B0-88748ED39931,09/27,4000,150,FT,GRASS,,,0,0,0,0,0,0,5.05701041220163e-06,0.0253332092876166
3805,094F68AB-D566-4B87-A432-F4438C52266A,D8A5081E-4A11-495B-9839-8CADCB8C23BB,01/19,3800,60,FT,GRASS,,,0,0,0,0,0,0,1.92268703358422e-06,0.0213228508134727
3806,878B3B01-743F-4A36-B000-C9A6E02084A6,97FF7DCD-A96E-4A82-B9DB-7FA6FA03F939,09/27,1850,100,FT,GRASS,,,0,0,0,0,0,0,1.55964198711445e-06,0.0118864633969089
3807,16C4EC4C-0156-4761-99F2-747D1CFE352C,184E7EFF-B260-4C6A-80DE-33F89659EAFB,09/27,2900,60,FT,GRASS,,,0,0,0,0,0,0,1.46379488796811e-06,0.0180585408645661
